cnae_10_21,10.2,10.21,"Processing of fish, crustaceans and molluscs"
cnae_10_22,10.2,10.22,"Manufacture of preserved fish"
cnae_10_43,10.4,10.43,"Manufacture of olive oil"
cnae_10_44,10.4,10.44,"Manufacture of other oils and fats"
cnae_10_53,10.5,10.53,"Manufacture of cheeses"
cnae_10_54,10.5,10.54,"Manufacture of milk and other dairies"
cnae_35_15,35.1,35.15,"Production of hydro-electric electricity"
cnae_35_16,35.1,35.16,"Production of electric energy of conventional thermal origin"
cnae_35_17,35.1,35.17,"Production of electric energy of nuclear origin"
cnae_35_18,35.1,35.18,"Production of electric energy of eolian origin"
cnae_35_19,35.1,35.19,"Production of electric energy of other types"
cnae_41_21,41.2,41.21,"Construction of residential buildings"
cnae_41_22,41.2,41.22,"Construction of non-residential buildings"
cnae_59_15,59.1,59.15,"Film and video production activities"
cnae_59_16,59.1,59.16,"Television programs production and distribution activities"
cnae_59_17,59.1,59.17,"Film and video distribution activities"
cnae_59_18,59.1,59.18,"Television programs distribution activities"
cnae_85_43,85.4,85.43,"University education"
cnae_85_44,85.4,85.44,"Non-university tertiary education"
cnae_87_31,87.3,87.31,"Residential care activities for the elderly"
cnae_87_32,87.3,87.32,"Residential care activities for the disabled"
cnae_88_11,88.1,88.11,"Social work activities without accommodation for the elderly"
cnae_88_12,88.1,88.12,"Social work activities without accommodation for the disabled"
cnae_91_05,91.0,91.05,"Library activities"
cnae_91_06,91.0,91.06,"Archives activities"
