id,name
p_iva0_isc,account_tax_template_p_iva0_isc
p_iva10_bc,account_tax_template_p_iva10_bc
p_iva10_bi,account_tax_template_p_iva10_bi
p_iva10_isp,account_tax_template_p_iva10_isp
p_iva10_isp_bi,account_tax_template_p_iva10_isp_bi
p_iva10_sc,account_tax_template_p_iva10_sc
p_iva10_sp_ex,account_tax_template_p_iva10_sp_ex
p_iva12_agr,account_tax_template_p_iva12_agr
p_iva21_bc,account_tax_template_p_iva21_bc
p_iva21_bi,account_tax_template_p_iva21_bi
p_iva21_isp,account_tax_template_p_iva21_isp
p_iva21_isp_bi,account_tax_template_p_iva21_isp_bi
p_iva21_sc,account_tax_template_p_iva21_sc
p_iva0_s_bc,account_tax_template_p_iva0_s_bc
p_iva0_s_sc,account_tax_template_p_iva0_s_sc
p_iva21_sp_ex,account_tax_template_p_iva21_sp_ex
p_iva4_bc,account_tax_template_p_iva4_bc
p_iva4_bi,account_tax_template_p_iva4_bi
p_iva4_isp,account_tax_template_p_iva4_isp
p_iva4_isp_bi,account_tax_template_p_iva4_isp_bi
p_iva4_sc,account_tax_template_p_iva4_sc
p_iva4_sp_ex,account_tax_template_p_iva4_sp_ex
p_iva5_isc,account_tax_template_p_iva5_isc
p_iva5_bc,account_tax_template_p_iva5_bc
p_iva5_sc,account_tax_template_p_iva5_sc
p_req0,account_tax_template_p_req0
p_req014,account_tax_template_p_req014
p_req05,account_tax_template_p_req05
p_req52,account_tax_template_p_req52
p_req062,account_tax_template_p_req062
p_iva0_nd,account_tax_template_p_iva0_nd
p_iva0_bc,account_tax_template_p_iva0_bc
p_iva0_ns,account_tax_template_p_iva0_ns
p_iva0_ns_b,account_tax_template_p_iva0_ns_b
p_iva105_gan,account_tax_template_p_iva105_gan
p_iva10_nd,account_tax_template_p_iva10_nd
p_iva4_nd,account_tax_template_p_iva4_nd
s_iva0,account_tax_template_s_iva0
s_iva0_isp,account_tax_template_s_iva0_isp
s_iva0_ns,account_tax_template_s_iva0_ns
s_iva10b,account_tax_template_s_iva10b
s_iva10s,account_tax_template_s_iva10s
s_iva21b,account_tax_template_s_iva21b
s_iva21isp,account_tax_template_s_iva21isp
s_iva21s,account_tax_template_s_iva21s
s_iva4b,account_tax_template_s_iva4b
s_iva4s,account_tax_template_s_iva4s
s_iva_ns,account_tax_template_s_iva_ns
s_iva_ns_b,account_tax_template_s_iva_ns_b
s_req0,account_tax_template_s_req0
s_req014,account_tax_template_s_req014
s_req05,account_tax_template_s_req05
s_req52,account_tax_template_s_req52
p_iva7-5_bc,account_tax_template_p_iva7-5_bc
p_iva7-5_sc,account_tax_template_p_iva7-5_sc
p_iva2_bc,account_tax_template_p_iva2_bc
p_iva2_sc,account_tax_template_p_iva2_sc
p_req026,account_tax_template_p_req026
p_req1,account_tax_template_p_req1
s_iva2s,account_tax_template_s_iva2s
s_iva2b,account_tax_template_s_iva2b
s_iva7-5s,account_tax_template_s_iva7-5s
s_iva7-5b,account_tax_template_s_iva7-5b
s_req026,account_tax_template_s_req026
s_req1,account_tax_template_s_req1
